XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
21.125,31.5625,22.504568099975586,30.796875,53.0625,24.46875,28.65625,30.28125,26.3125
21.125,32.0,22.238018035888672,30.65625,53.125,24.71875,28.25,29.84375,25.796875
21.171875,32.75,22.52995491027832,30.8125,54.125,24.578125,27.875,30.125,25.8125
20.796875,32.375,22.364946365356445,30.71875,54.1875,24.28125,28.03125,30.125,26.15625
20.6875,32.5,22.542648315429688,31.15625,54.4375,24.53125,28.21875,30.21875,25.53125
20.484375,32.40625,22.7838134765625,31.09375,54.4375,24.4375,27.875,29.84375,26.03125
20.390625,33.25,22.49187660217285,30.9375,54.96875,24.59375,28.09375,29.875,25.875
20.421875,32.53125,22.453798294067383,31.265625,55.484375,24.4375,28.03125,29.796875,25.875
20.3125,32.625,22.149166107177734,31.40625,55.296875,24.53125,28.0,30.296875,26.109375
20.28125,32.75,22.56803321838379,31.828125,55.75,24.453125,28.5,30.0,25.6875
20.0,32.78125,22.339561462402344,31.625,55.8125,24.078125,28.25,30.140625,25.578125
20.046875,32.5,22.542648315429688,31.328125,55.4375,23.96875,28.53125,30.34375,25.28125
20.265625,32.375,23.126522064208984,31.5625,56.53125,24.015625,28.75,30.15625,24.921875
20.0625,32.703125,22.74573516845703,31.84375,56.5625,23.875,29.09375,30.125,25.421875
20.46875,32.703125,23.024980545043945,31.84375,55.28125,23.796875,29.203125,29.53125,25.6875
20.8125,33.421875,23.202680587768555,32.0,53.875,23.5,29.5625,29.40625,26.0625
19.8125,33.265625,23.012287139892578,31.8125,54.75,23.71875,29.5625,29.171875,25.84375
19.46875,32.875,23.532697677612305,31.4375,53.0,23.703125,30.5,29.1875,26.328125
19.34375,33.921875,24.002334594726562,31.28125,51.625,23.8125,31.203125,29.296875,26.8125
19.21875,33.875,23.964256286621094,31.1875,50.875,24.0,31.125,29.28125,26.8125
19.125,33.3125,23.811941146850586,31.28125,51.375,24.0,30.90625,29.59375,26.8125
18.78125,33.21875,23.72309112548828,31.25,51.65625,23.75,30.5,29.28125,26.65625
18.375,33.9375,23.266145706176758,30.375,50.765625,23.625,30.53125,29.15625,26.359375
18.3125,34.0,22.49187660217285,30.03125,49.625,23.65625,30.34375,29.109375,25.828125
17.8125,33.09375,22.97420883178711,29.6875,51.5625,23.6875,29.84375,28.921875,25.390625
17.59375,32.4375,22.64419174194336,29.84375,51.75,23.5,29.3125,28.359375,24.890625
17.53125,32.1875,22.39033317565918,29.9375,50.6875,24.125,29.53125,28.625,25.8125
17.5,31.984375,22.8218936920166,29.71875,49.25,24.9375,30.28125,28.375,25.640625
17.453125,31.5,23.189987182617188,30.59375,48.21875,24.71875,30.5,28.796875,25.25
17.28125,32.25,23.037673950195312,30.625,47.203125,24.5,30.9375,28.796875,24.6875
17.203125,32.859375,23.050365447998047,30.375,46.875,24.515625,30.8125,28.3125,24.921875
17.71875,32.734375,23.634239196777344,30.78125,48.5,24.890625,31.8125,29.140625,25.3125
18.171875,32.765625,23.558082580566406,30.5625,46.375,24.984375,32.28125,29.0625,24.890625
17.75,33.4375,23.888099670410156,30.25,46.03125,24.9375,32.46875,29.4375,24.5
